Problem_Name	Plan_Length	Plan_Cost	Total_Time	Expanded	Reopened	Evaluated	Generated

08-scanalyzer-strips
p01.pddl	10	22	0.0257446s	50	0	694	882
p02.pddl	12	24	0.0326776s	98	0	851	1164
p03.pddl	18	30	0.0506224s	399	0	2586	3980
p04.pddl	12	28	0.14465s	130	0	3149	4128
p05.pddl	22	38	0.1772s	384	0	6102	7660
p06.pddl	26	42	0.242126s	650	0	9162	11033
p07.pddl	20	40	0.998645s	348	0	13205	17350
p08.pddl	32	52	0.842769s	630	0	16272	18870
p09.pddl	32	52	1.18316s	1036	0	24021	26910
p10.pddl	20	44	2.46078s	310	0	18056	22248
